No.,Area,ADM1ATIE,2018,2019,2020,2021
0,NCR,NCR,6875,19035,36265,52747
0,CAR,CAR,40,103,2378,2425
1,Ilocos Region,Ilocos Region,335,384,10269,10734
2,Cagayan Valley,Cagayan Valley,77,340,8141,6579
3,Central Luzon,Central Luzon,15731,22158,35683,37845
4-A,CALABARZON,CALABARZON,12406,27675,45097,55602
4-B,MIMAROPA,MIMAROPA,153,273,8857,9445
5,Bicol Region,Bicol Region,308,1208,16363,19797
6,Western Visayas,Western Visayas,296,2042,24015,28360
7,Central Visayas,Central Visayas,184,970,15841,17816
8,Eastern Visayas,Eastern Visayas,113,306,9155,10124
9,Zamboanga Peninsula,Zamboanga Peninsula,200,1385,8026,8084
10,Northern Mindanao,Northern Mindanao,91,404,10032,11479
11,Davao Region,Davao Region,124,85,8783,9861
12,SOCCSKSARGEN,SOCCSKSARGEN,116,128,11952,13673
13,CARAGA,CARAGA,107,138,6920,8025
0,BARMM,BARMM,49,30,3668,3718
